aprovacao_id,ano_vestibular,aluno_id,universidade,curso_aprovado,modalidade_vaga,chamada,bolsa_aprovacao,data_resultado,nota_final_vestibular,campus
V000104,2023,A00001,UFPE,Engenharia de Software,PPI,2ª chamada,Não Informado,2023-01-04,784.4,Sobral
V000105,2023,A00006,UFC,Engenharia Civil,Cota escola pública,Lista de espera,Não Informado,2023-02-26,670.2,Quixadá
V000106,2023,A00016,UFC,Medicina,Cota escola pública,Lista de espera,Parcial,2023-01-14,898.3,Quixadá
V000107,2023,A00019,UECE,Design,Ampla Concorrência,2ª chamada,Parcial,2023-01-11,851.2,Quixadá
V000108,2023,A00023,UVA,Direito,PCD,SISU,Sim,2023-12-10,678.2,Não Informado
V000109,2023,A00031,UECE,Engenharia Civil,PCD,1ª chamada,Não Informado,2023-02-20,903.6,Juazeiro
V000110,2023,A00034,UFRN,Odontologia,Ampla Concorrência,1ª chamada,Sim,2023-03-24,832.2,Sobral
V000111,2023,A00060,UFC,Engenharia Civil,PCD,2ª chamada,Não,2023-01-12,718.1,Fortaleza
V000112,2023,A00064,UNIFOR,Jornalismo,PCD,SISU,Não Informado,2023-12-18,623.6,Sobral
V000113,2023,A00069,UERN,Direito,PPI,2ª chamada,Não Informado,2023-03-17,788.5,Sobral
V000114,2023,A00077,UECE,Engenharia Civil,Cota escola pública,SISU,Não,2023-12-18,610.1,Crateús
V000115,2023,A00080,UERN,Engenharia Civil,Não Informado,Vestibular próprio,Não,2023-02-19,923.1,Crateús
V000116,2023,A00101,UVA,Ciência da Computação,Cota escola pública,SISU,Não Informado,2023-02-14,777.9,Não Informado
V000117,2023,A00102,UFRN,Jornalismo,Não Informado,SISU,Sim,2023-03-09,643.0,Sobral
V000118,2023,A00120,UFC,Engenharia Civil,PPI,Lista de espera,Sim,2023-03-18,591.2,Fortaleza
V000119,2023,A00129,UNILAB,Engenharia Civil,Ampla Concorrência,2ª chamada,Sim,2023-03-26,757.9,Crateús
V000120,2023,A00144,UFRN,Design,Não Informado,Lista de espera,Não Informado,2023-01-11,675.4,Crateús
V000121,2023,A00156,UVA,Engenharia de Software,Cota escola pública,2ª chamada,Parcial,2023-12-08,627.7,Fortaleza
V000122,2023,A00158,UFC,Engenharia de Software,Ampla Concorrência,2ª chamada,Sim,2023-01-08,582.4,Juazeiro
V000123,2023,A00171,UVA,Arquitetura,Não Informado,SISU,Parcial,2023-01-03,594.5,Fortaleza
V000124,2023,A00175,UNILAB,Ciência da Computação,Ampla Concorrência,2ª chamada,Não,2023-12-23,912.0,Fortaleza
V000125,2023,A00177,UECE,Engenharia Civil,PCD,Lista de espera,Não,2023-03-03,714.7,Quixadá
V000126,2023,A00182,UERN,Arquitetura,PCD,2ª chamada,Não,2023-01-14,721.7,Sobral
V000127,2023,A00197,IFCE,Odontologia,Não Informado,2ª chamada,Parcial,2023-03-12,600.7,Crateús
V000128,2023,A00201,UECE,Arquitetura,Cota escola pública,Lista de espera,Sim,2023-02-01,493.4,Não Informado
V000129,2023,A00209,UVA,Engenharia de Software,Não Informado,SISU,Parcial,2023-03-14,772.5,Juazeiro
V000130,2023,A00214,UVA,Psicologia,Ampla Concorrência,1ª chamada,Sim,2023-02-01,647.4,Não Informado
V000131,2023,A00224,UECE,Medicina,PPI,SISU,Não Informado,2023-02-24,667.4,Quixadá
V000132,2023,A00232,UFPE,Medicina,Ampla Concorrência,Lista de espera,Sim,2023-12-28,703.7,Quixadá
V000133,2023,A00239,UFCA,Odontologia,Cota escola pública,SISU,Parcial,2023-12-11,739.2,Sobral
V000134,2023,A00250,UFC,Engenharia de Software,Cota escola pública,1ª chamada,Não,2023-12-24,648.9,Juazeiro
V000135,2023,A00251,UFCA,Fisioterapia,Ampla Concorrência,1ª chamada,Não,2023-02-14,727.0,Quixadá
V000136,2023,A00273,UVA,Economia,Ampla Concorrência,Vestibular próprio,Sim,2023-01-16,647.8,Sobral
V000137,2023,A00276,UERN,Odontologia,Ampla Concorrência,Vestibular próprio,Não Informado,2023-02-27,738.4,Sobral
V000138,2023,A00279,UFC,Fisioterapia,Não Informado,1ª chamada,Sim,2023-02-04,648.3,Juazeiro
V000139,2023,A00298,UFC,Medicina,Ampla Concorrência,SISU,Parcial,2023-03-21,731.7,Juazeiro
V000140,2023,A00303,UERN,Administração,PCD,1ª chamada,Sim,2023-02-28,636.6,Fortaleza
V000141,2023,A00304,UFPE,Odontologia,Ampla Concorrência,Lista de espera,Não Informado,2023-03-16,614.9,Juazeiro
V000142,2023,A00310,UNILAB,Fisioterapia,Cota escola pública,1ª chamada,Parcial,2023-03-18,593.7,Crateús
V000143,2023,A00316,IFCE,Direito,PPI,1ª chamada,Sim,2023-01-09,605.7,Não Informado
V000144,2023,A00364,UERN,Enfermagem,Cota escola pública,Lista de espera,Sim,2023-02-08,831.3,Sobral
V000145,2023,A00370,UFRN,Design,Não Informado,SISU,Não,2023-03-11,698.6,Quixadá
V000146,2023,A00375,UNIFOR,Arquitetura,PCD,Vestibular próprio,Sim,2023-01-17,595.1,Não Informado
V000147,2023,A00377,UVA,Administração,PCD,2ª chamada,Não,2023-12-09,646.1,Sobral
V000148,2023,A00383,UECE,Psicologia,Ampla Concorrência,Vestibular próprio,Sim,2023-02-05,546.5,Sobral
V000149,2023,A00388,UECE,Economia,PCD,Lista de espera,Sim,2023-03-22,772.7,Fortaleza
V000150,2023,A00398,UFCA,Jornalismo,Ampla Concorrência,Vestibular próprio,Não,2023-12-26,705.6,Quixadá
V000151,2023,A00404,UFC,Fisioterapia,PPI,SISU,Não,2023-12-13,712.9,Crateús
V000152,2023,A00414,IFCE,Arquitetura,PCD,Vestibular próprio,Parcial,2023-03-12,693.6,Crateús
V000153,2023,A00422,UNIFOR,Enfermagem,PPI,1ª chamada,Sim,2023-02-23,647.9,Não Informado
V000154,2023,A00431,IFCE,Engenharia de Software,Cota escola pública,Vestibular próprio,Não Informado,2023-12-07,756.6,Crateús
V000155,2023,A00433,UECE,Design,PCD,Vestibular próprio,Não Informado,2023-03-19,751.8,Quixadá
V000156,2023,A00470,UNILAB,Medicina,Ampla Concorrência,Vestibular próprio,Não Informado,2023-12-15,867.2,Sobral
V000157,2023,A00477,UNIFOR,Medicina,Ampla Concorrência,SISU,Não Informado,2023-03-02,687.9,Sobral
V000158,2023,A00480,UNILAB,Medicina,PPI,Lista de espera,Não,2023-03-25,808.9,Quixadá
V000159,2023,A00492,UNIFOR,Jornalismo,PCD,1ª chamada,Não Informado,2023-12-24,776.8,Juazeiro
V000160,2023,A00500,UNILAB,Medicina,PPI,Lista de espera,Não,2023-03-22,710.3,Sobral
V000161,2023,A00525,UFC,Engenharia de Software,PCD,Lista de espera,Não,2023-01-16,809.4,Crateús
V000162,2023,A00531,UFPE,Direito,PPI,2ª chamada,Sim,2023-12-25,748.6,Fortaleza
V000163,2023,A00558,UFC,Engenharia de Software,Não Informado,1ª chamada,Sim,2023-12-15,676.7,Não Informado
V000164,2023,A00567,UNILAB,Engenharia de Software,Cota escola pública,Vestibular próprio,Sim,2023-01-08,656.1,Fortaleza
V000165,2023,A00575,UERN,Design,Não Informado,SISU,Sim,2023-02-09,878.5,Fortaleza
V000166,2023,A00593,UECE,Economia,Cota escola pública,2ª chamada,Sim,2023-03-09,685.4,Crateús
V000167,2023,A00608,UECE,Engenharia de Software,PCD,SISU,Sim,2023-03-09,680.5,Fortaleza
V000168,2023,A00623,UFPE,Psicologia,Ampla Concorrência,SISU,Sim,2023-03-16,625.3,Fortaleza
V000169,2023,A00630,UECE,Psicologia,Cota escola pública,Lista de espera,Sim,2023-03-01,792.0,Não Informado
V000170,2023,A00643,UFC,Odontologia,Ampla Concorrência,SISU,Sim,2023-01-04,701.7,Não Informado
V000171,2023,A00654,IFCE,Direito,Ampla Concorrência,Lista de espera,Sim,2023-01-12,604.2,Sobral
V000172,2023,A00666,UFRN,Enfermagem,Ampla Concorrência,2ª chamada,Não,2023-03-06,615.4,Sobral
V000173,2023,A00670,UFCA,Ciência da Computação,Ampla Concorrência,SISU,Parcial,2023-03-14,760.1,Fortaleza
V000174,2023,A00675,UFC,Economia,PPI,SISU,Não Informado,2023-01-06,635.8,Quixadá
V000175,2023,A00690,IFCE,Arquitetura,Ampla Concorrência,Vestibular próprio,Não,2023-01-27,590.5,Juazeiro
V000176,2023,A00705,UECE,Administração,Ampla Concorrência,2ª chamada,Sim,2023-03-05,698.1,Crateús
V000177,2023,A00739,UNILAB,Engenharia Civil,Não Informado,Vestibular próprio,Sim,2023-12-20,599.3,Crateús
V000178,2023,A00748,UNIFOR,Engenharia Civil,PCD,1ª chamada,Não Informado,2023-01-18,634.1,Não Informado
V000179,2023,A00753,UECE,Administração,Não Informado,Lista de espera,Sim,2023-01-14,797.3,Juazeiro
V000180,2023,A00772,UFCA,Psicologia,PPI,Vestibular próprio,Não,2023-12-27,707.0,Não Informado
V000181,2024,A00001,UFPE,Ciência da Computação,Ampla Concorrência,1ª chamada,Sim,2024-03-26,695.8,Juazeiro
V000182,2024,A00006,UERN,Jornalismo,Não Informado,Lista de espera,Sim,2024-12-23,755.4,Crateús
V000183,2024,A00023,UNIFOR,Enfermagem,PCD,1ª chamada,Não Informado,2024-12-18,743.5,Crateús
V000184,2024,A00027,UECE,Ciência da Computação,PCD,Lista de espera,Não Informado,2024-03-16,748.2,Crateús
V000185,2024,A00029,UECE,Medicina,PPI,SISU,Parcial,2024-03-22,596.2,Fortaleza
V000186,2024,A00031,UFPE,Design,Não Informado,Lista de espera,Sim,2024-01-04,786.3,Crateús
V000187,2024,A00045,UFRN,Economia,Cota escola pública,1ª chamada,Não Informado,2024-01-01,585.4,Quixadá
V000188,2024,A00051,UFRN,Odontologia,Ampla Concorrência,2ª chamada,Não,2024-12-05,694.8,Juazeiro
V000189,2024,A00063,UNILAB,Fisioterapia,PCD,Lista de espera,Sim,2024-03-09,843.7,Fortaleza
V000190,2024,A00069,UFRN,Administração,Ampla Concorrência,1ª chamada,Parcial,2024-02-08,841.2,Não Informado
V000191,2024,A00079,UECE,Odontologia,Não Informado,Lista de espera,Sim,2024-01-22,674.5,Crateús
V000192,2024,A00090,UFRN,Ciência da Computação,Ampla Concorrência,Vestibular próprio,Parcial,2024-03-09,748.1,Fortaleza
V000193,2024,A00124,UECE,Arquitetura,Ampla Concorrência,Vestibular próprio,Sim,2024-01-16,705.1,Crateús
V000194,2024,A00133,UFRN,Ciência da Computação,Não Informado,Vestibular próprio,Não,2024-03-20,579.6,Fortaleza
V000195,2024,A00152,UERN,Enfermagem,PCD,2ª chamada,Sim,2024-03-01,649.7,Fortaleza
V000196,2024,A00157,UFC,Psicologia,PCD,Lista de espera,Não Informado,2024-10-02,809.1,Não Informado
V000197,2024,A00185,UFC,Engenharia de Software,Cota escola pública,SISU,Sim,2024-01-12,696.0,Fortaleza
V000198,2024,A00193,UERN,Design,Cota escola pública,1ª chamada,Sim,2024-01-09,641.8,Quixadá
V000199,2024,A00206,UFRN,Economia,Não Informado,Vestibular próprio,Sim,2024-03-02,788.8,Fortaleza
V000200,2024,A00230,UFCA,Economia,PCD,2ª chamada,Sim,2024-12-23,584.4,Não Informado
V000201,2024,A00247,UFPE,Engenharia Civil,PPI,Lista de espera,Parcial,2024-01-17,662.9,Crateús
V000202,2024,A00250,UFRN,Economia,PCD,Lista de espera,Sim,2024-12-08,707.9,Fortaleza
V000203,2024,A00260,UFC,Engenharia Civil,PPI,1ª chamada,Não Informado,2024-03-28,749.2,Juazeiro
V000204,2024,A00265,UERN,Direito,Ampla Concorrência,Lista de espera,Sim,2024-12-16,708.9,Sobral
V000205,2024,A00270,IFCE,Engenharia Civil,Cota escola pública,Vestibular próprio,Não,2024-01-14,702.6,Sobral
V000206,2024,A00277,IFCE,Medicina,Ampla Concorrência,1ª chamada,Parcial,2024-01-11,746.0,Crateús
V000207,2024,A00283,UNIFOR,Jornalismo,Ampla Concorrência,Lista de espera,Sim,2024-03-05,818.0,Crateús
V000208,2024,A00349,UFPE,Odontologia,PCD,Lista de espera,Sim,2024-12-06,665.3,Juazeiro
V000209,2024,A00352,UFCA,Medicina,Ampla Concorrência,SISU,Não Informado,2024-02-14,793.9,Quixadá
V000210,2024,A00357,UERN,Economia,PCD,2ª chamada,Sim,2024-03-21,734.2,Sobral
V000211,2024,A00369,UVA,Jornalismo,Cota escola pública,2ª chamada,Não,2024-12-23,577.0,Juazeiro
V000212,2024,A00386,UNIFOR,Jornalismo,Cota escola pública,SISU,Parcial,2024-02-27,720.1,Sobral
V000213,2024,A00390,IFCE,Economia,PPI,Lista de espera,Parcial,2024-12-26,734.2,Não Informado
V000214,2024,A00391,UERN,Engenharia de Software,Cota escola pública,SISU,Parcial,2024-01-02,726.1,Sobral
V000215,2024,A00397,UNILAB,Administração,Ampla Concorrência,SISU,Sim,2024-03-26,866.4,Quixadá
V000216,2024,A00408,UERN,Direito,Não Informado,Vestibular próprio,Parcial,2024-01-12,707.9,Sobral
V000217,2024,A00421,UNIFOR,Design,Cota escola pública,1ª chamada,Sim,2024-12-09,703.9,Juazeiro
V000218,2024,A00431,UNIFOR,Engenharia Civil,PCD,Vestibular próprio,Parcial,2024-02-13,725.5,Fortaleza
V000219,2024,A00439,UECE,Psicologia,Cota escola pública,Lista de espera,Parcial,2024-02-15,730.1,Sobral
V000220,2024,A00444,UERN,Odontologia,Ampla Concorrência,Vestibular próprio,Não Informado,2024-02-17,695.9,Não Informado
V000221,2024,A00449,UFCA,Enfermagem,Cota escola pública,1ª chamada,Não,2024-12-16,836.3,Fortaleza
V000222,2024,A00451,IFCE,Engenharia Civil,PCD,1ª chamada,Parcial,2024-03-16,514.0,Sobral
V000223,2024,A00456,UFRN,Design,PCD,1ª chamada,Não,2024-12-14,658.7,Crateús
V000224,2024,A00459,UECE,Administração,PPI,1ª chamada,Sim,2024-01-09,889.5,Juazeiro
V000225,2024,A00465,UNIFOR,Enfermagem,Cota escola pública,Lista de espera,Não Informado,2024-12-10,585.8,Quixadá
V000226,2024,A00491,UERN,Arquitetura,Cota escola pública,Lista de espera,Não,2024-03-10,750.8,Sobral
V000227,2024,A00492,IFCE,Ciência da Computação,PPI,Vestibular próprio,Sim,2024-03-06,835.9,Sobral
V000228,2024,A00497,UFCA,Direito,PPI,SISU,Sim,2024-02-02,749.7,Não Informado
V000229,2024,A00506,UVA,Fisioterapia,Ampla Concorrência,2ª chamada,Não,2024-01-23,926.1,Sobral
V000230,2024,A00509,UFC,Ciência da Computação,PCD,SISU,Sim,2024-01-28,773.7,Não Informado
V000231,2024,A00518,UFRN,Administração,Ampla Concorrência,Lista de espera,Não,2024-01-03,805.9,Juazeiro
V000232,2024,A00539,UECE,Ciência da Computação,PCD,Lista de espera,Não Informado,2024-03-27,767.6,Não Informado
V000233,2024,A00553,UECE,Fisioterapia,Ampla Concorrência,1ª chamada,Parcial,2024-12-15,615.6,Quixadá
V000234,2024,A00577,UECE,Psicologia,PCD,Vestibular próprio,Sim,2024-03-03,705.5,Crateús
V000235,2024,A00588,IFCE,Ciência da Computação,PPI,Lista de espera,Não Informado,2024-12-18,584.2,Quixadá
V000236,2024,A00592,UFC,Arquitetura,Não Informado,Lista de espera,Não,2024-01-11,760.7,Crateús
V000237,2024,A00596,UFPE,Medicina,Não Informado,1ª chamada,Não Informado,2024-03-04,751.1,Quixadá
V000238,2024,A00598,UECE,Psicologia,Cota escola pública,1ª chamada,Não,2024-02-16,759.3,Não Informado
V000239,2024,A00609,UFCA,Enfermagem,PPI,1ª chamada,Parcial,2024-01-25,847.6,Não Informado
V000240,2024,A00611,UNIFOR,Psicologia,Não Informado,Vestibular próprio,Sim,2024-03-02,719.6,Sobral
V000241,2024,A00614,UNIFOR,Enfermagem,Ampla Concorrência,1ª chamada,Parcial,2024-02-21,716.3,Juazeiro
